Dates,NI
2021-08-26,44
2021-08-27,39
2021-08-28,13
2021-08-29,42
2021-08-30,110
2021-08-31,32
2021-09-01,16
2021-09-02,0
2021-09-03,0
2021-09-04,0
2021-09-05,0
2021-09-06,0
2021-09-07,0
2021-09-08,0
2021-09-09,0
2021-09-10,0
2021-09-11,1
2021-09-12,0
2021-09-13,11
2021-09-14,29
2021-09-15,17
2021-09-16,13
2021-09-17,11
2021-09-18,7
2021-09-19,1
2021-09-20,0
2021-09-21,8
2021-09-22,0
2021-09-23,0
2021-09-24,3
2021-09-25,3
2021-09-26,11
2021-09-27,1
2021-09-28,1
2021-09-29,4
2021-09-30,1
2021-10-01,0
2021-10-02,2
2021-10-03,1
2021-10-04,7
2021-10-05,1
2021-10-06,16
2021-10-07,21
2021-10-08,6
2021-10-09,6
2021-10-10,2
2021-10-11,5
2021-10-12,3
2021-10-13,0
2021-10-14,0
2021-10-15,1
2021-10-16,6
2021-10-17,5
2021-10-18,26
2021-10-19,9
2021-10-20,7
2021-10-21,12
2021-10-22,2
2021-10-23,0
2021-10-24,3
2021-10-25,9
2021-10-26,7
2021-10-27,11
2021-10-28,48
2021-10-29,38
2021-10-30,9
2021-10-31,8
2021-11-01,0
2021-11-02,0
2021-11-03,0
2021-11-04,8
2021-11-05,0
2021-11-06,0
2021-11-07,0
2021-11-08,2
2021-11-09,0
2021-11-10,3
2021-11-11,8
2021-11-12,22
2021-11-13,10
2021-11-14,1
2021-11-15,1
2021-11-16,2
2021-11-17,10
2021-11-18,10
2021-11-19,16
2021-11-20,21
2021-11-21,3
2021-11-22,14
2021-11-23,46
2021-11-24,30
2021-11-25,0
2021-11-26,2
2021-11-27,0
2021-11-28,0
2021-11-29,0
2021-11-30,0
2021-12-01,3
2021-12-02,1
2021-12-03,3
2021-12-04,0
2021-12-05,0
2021-12-06,3
2021-12-07,1
2021-12-08,11
2021-12-09,1
2021-12-10,0
2021-12-11,2
2021-12-12,0
2021-12-13,0
2021-12-14,0
2021-12-15,0
2021-12-16,6
2021-12-17,2
2021-12-18,5
2021-12-19,0
2021-12-20,3
2021-12-21,0
2021-12-22,8
2021-12-23,11
2021-12-24,8
2021-12-25,11
2021-12-26,6
2021-12-27,27
2021-12-28,27
2021-12-29,53
2021-12-30,32
2021-12-31,14
